Name,Tooth,Class1,Class2,Classify,Exclude,Comment
AL333-43b_LRM1,M1,Aus,Aafa,*,*,
AL1030-1_LLDM1,M1,Aus,Aafa,*,*,
BK1333-CC8-1648_LRDM1,M1,Hsap,Hsap,*,ex,
DNH35_DNH35_LRDM1,M1,Early Homo,Early Homo,*,*,
Flores_LB_08_LLDM1,M1,Flores,Flores,*,ex,
Hden_BSY_LLDM1,M1,Hden,Hden,*,ex,
Hnal_UW101_1400_LLDM1,M1,Hnal,Hnal,*,ex,Antimere
Hnal_UW101_1685_LRDM1,M1,Hnal,Hnal,*,*,
Hnea_Kebara_1_LRDM1,M1,Hnea,Hnea,*,ex,
Hnea_KMH4_LLDM1,M1,Hnea,Hnea,*,ex,
Hnea_MDA_S37_LRDM1,M1,Hnea,Hnea,*,ex,
Hnea_PECH_DE_L_AZE_LRDM1,M1,Hnea,Hnea,*,ex,
Hnea_Roc_de_Marsal_LLDM1,M1,Hnea,Hnea,*,ex,
Hsap_GUID_T_39_LRDM1,M1,Hsap,Hsap,*,ex,
Hsap_GUID_T_65_LRDM1,M1,Hsap,Hsap,*,ex,
Hsap_GUID_T_77_LLDM1,M1,Hsap,Hsap,*,ex,
Hsap_GUID_TB_49_B_LLDM1,M1,Hsap,Hsap,*,ex,
Hsap_RN_XX_S_Tb_10_LLDM1,M1,Hsap,Hsap,*,ex,
Hsap_RN_XX_T_03_LLDM1,M1,Hsap,Hsap,*,ex,
Hsap_ROEEAPEZALIO_US_26_LRDM1,M1,Hsap,Hsap,*,ex,
Hsap_SM_BT_TB_6_LLDM1,M1,Hsap,Hsap,*,ex,
Hsap_SM_BT_US_22_LRDM1,M1,Hsap,Hsap,*,ex,
Hsap_ULAC_81_LLDM1,M1,Hsap,Hsap,*,ex,
Hsap_ULAC_477_LRDM1,M1,Hsap,Hsap,*,ex,
Hsap_ULAC_742_LLDM1,M1,Hsap,Hsap,*,ex,
Hsap_ULAC_982_LLDM1,M1,Hsap,Hsap,*,ex,
Hsap_VALDARO_Be_Tb_75_LLDM1,M1,Hsap,Hsap,*,ex,
Hsap_VALDARO_Tb_57_LLDM1,M1,Hsap,Hsap,*,ex,
Hsap_VALDARO_Tb_76_LLDM1,M1,Hsap,Hsap,*,ex,
KNM-ER820_LRDM1,M1,Here,Here,*,*,
LH2_LRDM1,M1,Aus,Aafa,*,*,
LH3l_LRDM1,M1,Aus,Aafa,*,*,
Omo222-1973-2744,M1,Early Homo,Early Homo,*,*,
Prob_SK64_LRDM1,M1,Prob,Prob,*,*,
Prob_TM1601a_LRDM1,M1,Prob,Prob,*,*,
SK61_LRDM1,M1,Prob,Prob,*,*,
SK63_LRDM1,M1,Prob,Prob,*,*,
SK3978_LLDM1,M1,Prob,Prob,*,*,
STS24_LLDM1,M1,Aus,Aafr,*,*,
STW104_LLDM1,M1,Aus,Aafr,*,*,
STW151_LRDM1,M1,Early Homo,Early Homo,*,*,
UW105-076_LRDM1,M1,UW105,UW105,classify,*,
UW105-076_V2_LRDM1,M1,UW105,UW105,*,ex,Test
Aafr_MLD_5_LRDM2,M2,Aus,Aafr,*,ex,
Aafr_STW_428_LLDM2,M2,Aus,Aafr,*,ex,
Garba_LRDM2,M2,Here,Here,*,ex,
Hden_BSY_LLDM2,M2,Hden,Hden,*,ex,
Hnal_UW101_1400_LLDM2,M2,Hnal,Hnal,*,ex,Antimere
Hnal_UW101_1686_LRDM2,M2,Hnal,Hnal,*,ex,
Hnea_Engis_2_LRDM2,M2,Hnea,Hnea,*,ex,
Hnea_Kebara_1_LRDM2,M2,Hnea,Hnea,*,ex,
Hnea_KMH4_LRDM2,M2,Hnea,Hnea,*,ex,
Hnea_KRP_D62_LLDM2,M2,Hnea,Hnea,*,ex,
Hnea_KRP_D63_LLDM2,M2,Hnea,Hnea,*,ex,
Hnea_KRP_D65_LLDM2,M2,Hnea,Hnea,*,ex,
Hnea_KRP_D68_LRDM2,M2,Hnea,Hnea,*,ex,
Hnea_MDA_S37_LRDM2,M2,Hnea,Hnea,*,ex,
Hnea_PECH_DE_L_AZE_LRDM2,M2,Hnea,Hnea,*,ex,
Hnea_Roc_de_Marsal_LLDM2,M2,Hnea,Hnea,*,ex,
Hsap_GUID_T_41_LRDM2,M2,Hsap,Hsap,*,ex,
Hsap_GUID_T_49_B_LLDM2,M2,Hsap,Hsap,*,ex,
Hsap_GUID_T_52_LLDM2,M2,Hsap,Hsap,*,ex,
Hsap_GUID_T_54_LRDM2,M2,Hsap,Hsap,*,ex,
Hsap_GUID_T_80_LRDM2,M2,Hsap,Hsap,*,ex,
Hsap_PCJJH_B2.11_LRDM2,M2,Hsap,Hsap,*,ex,
Hsap_ULAC_81_LLDM2,M2,Hsap,Hsap,*,ex,
Hsap_ULAC_101_LLDM2,M2,Hsap,Hsap,*,ex,
Hsap_ULAC_140_LLDM2,M2,Hsap,Hsap,*,ex,
Hsap_ULAC_447_LLDM2,M2,Hsap,Hsap,*,ex,
Hsap_ULAC_742_LLDM2,M2,Hsap,Hsap,*,ex,
Hsap_ULAC_864_LRDM2,M2,Hsap,Hsap,*,ex,
Hsap_ULAC_966_LRDM2,M2,Hsap,Hsap,*,ex,
Hsap_ULAC_982_LLDM2,M2,Hsap,Hsap,*,ex,
Hsap_ULAC_997_LLDM2,M2,Hsap,Hsap,*,ex,
Hsap_VALDARO_BE_TB_75_LLDM2,M2,Hsap,Hsap,*,ex,
Hsap_VALDARO_T_76_LLDM2,M2,Hsap,Hsap,*,ex,
Hsap_VALDARO_T_89_LLDM2,M2,Hsap,Hsap,*,ex,
Hsap_VALDARO_Tb_57_LLDM2,M2,Hsap,Hsap,*,ex,
Hsapf_Qafzeh_15_LRDM2,M2,Hsapf,Hsapf,*,ex,
Hsapf_Skhul_1_LLDM2,M2,Hsapf,Hsapf,*,ex,
Hsapf_Skhul_10_LLDM2,M2,Hsapf,Hsapf,*,ex,
KNM-ER820_LLDM2,M2,Here,Here,*,ex,
LH2_LLDM2,M2,Aus,Aafa,*,ex,
Prob_DNH_2_LLDM2,M2,Prob,Prob,*,ex,
Prob_DNH_56B_LRDM2,M2,Prob,Prob,*,ex,
Prob_DNH_60i_LLDM2,M2,Prob,Prob,*,ex,
Prob_SK61_LRDM2,M2,Prob,Prob,*,ex,
Prob_SK62_LLDM2,M2,Prob,Prob,*,ex,
Prob_SK64_LRDM2,M2,Prob,Prob,*,ex,
Prob_SK3978_LRDM2,M2,Prob,Prob,*,ex,
STS24_LRDM2,M2,Aus,Aafr,*,ex,
STW151_LRDM2,M2,Early Homo,Early Homo,*,ex,
Taung1_LRDM2,M2,Aus,Aafr,*,ex,
UW105-249_LRDM2,M2,UW105,UW105,classify,ex,
