Name,Tooth,Class1,Class2,Classify,Exclude
AL200-1a_ULM1,M1,*,AL200-1a,*,*
AL333-86_URM1,M1,*,AL333-86,*,*
AL486-1_ULM1,M1,*,AL486-1,*,*
Ased_ULM1,M1,*,Ased,*,*
Ased_URM1,M1,*,Ased,*,*
DNH_39_URM1,M1,*,DNH,*,*
DNH_70_ULM1,M1,*,DNH,*,*
DNH_108_ULM1,M1,*,DNH,*,*
KNM-ER_807_URM1,M1,*,KNM-ER,*,*
KNM-ER_1590K_ULM1,M1,*,KNM-ER,*,*
KNM-ER_1813_ULM1,M1,*,KNM-ER,*,*
KNM-WT_17400_URM1,M1,*,KNM-WT,*,*
LH6_URM1,M1,*,LH6,*,*
OH13_ULM1,M1,*,OH13,*,*
OH16_URM1,M1,*,OH16,*,*
OH21_ULM1,M1,*,OH21,*,*
OH24_ULM1,M1,*,OH24,*,*
OH45_ULM,LM,*,OH45,*,*
Prob_DNH_57B_URM1,M1,*,Prob,*,*
Prob_DNH_60A_ULM1,M1,*,Prob,*,*
Prob_SK829_ULM1,M1,*,Prob,*,*
Prob_SK_47_URM1,M1,*,Prob,*,*
Prob_SK_89a_ULM1,M1,*,Prob,*,*
Prob_SK_832_ULM1,M1,*,Prob,*,*
SK13.14_URM1,M1,*,SK13.14,*,*
SK27_ULM1,M1,*,SK27,*,*
SK_48_URM1,M1,*,SK,*,*
SK_52_URM1,M1,*,SK,*,*
SK_102_ULM1,M1,*,SK,*,*
SK_829_ULM1,M1,*,SK,*,*
SK_838a_URM1,M1,*,SK,*,*
SK_14129A_URM1,M1,*,SK,*,*
STS_1_ULM1,M1,*,STS,*,*
STS_8_ULM1,M1,*,STS,*,*
STS_24_URM1,M1,*,STS,*,*
STS_56_ULM1,M1,*,STS,*,*
STS_57_ULM1,M1,*,STS,*,*
STW183_ULM1,M1,*,STW183,*,*
STW252J_ULM1,M1,*,STW252J,*,*
STW_402_URM1,M1,*,STW,*,*
STW_450_URM1,M1,*,STW,*,*
TAUNG_1_ULM1,M1,*,TAUNG,*,*
TM_1517a_ULM1,M1,*,TM,*,*
AL199-1_URM2,M2,*,AL199-1,*,*
AL200-1a_URM2,M2,*,AL200-1a,*,*
AL417-1d_ULM2,M2,*,AL417-1d,*,*
AL486-1_ULM2,M2,*,AL486-1,*,*
AL666-1_ULM2,M2,*,AL666-1,*,*
Ased_ULM2,M2,*,Ased,*,*
Ased_URM2,M2,*,Ased,*,*
DNH_7_URM2,M2,*,DNH,*,*
DNH_108_URM2,M2,*,DNH,*,*
KNM-ER_1590M_ULM2,M2,*,KNM-ER,*,*
KNM-ER_1808H_URM2,M2,*,KNM-ER,*,*
KNM-WT_17400_URM2,M2,*,KNM-WT,*,*
KNMER1813_ULM2,M2,*,KNMER1813,*,*
OH13_ULM2,M2,*,OH13,*,*
OH16_ULM2,M2,*,OH16,*,*
OH39_ULM2,M2,*,OH39,*,*
Prob_SK_48_URM2,M2,*,Prob,*,*
Prob_SK_834_URM2,M2,*,Prob,*,*
SK13.14_URM2,M2,*,SK13.14,*,*
SK_16.1591_ULM2,M2,*,SK,*,*
SK_47_URM2,M2,*,SK,*,*
SK_49_URM2,M2,*,SK,*,*
SK_52_URM2,M2,*,SK,*,*
SKW_33_URM2,M2,*,SKW,*,*
STS_8_ULM2,M2,*,STS,*,*
STS_22_ULM2,M2,*,STS,*,*
STS_28_URM2,M2,*,STS,*,*
STS_30_URM2,M2,*,STS,*,*
STS_37_ULM2,M2,*,STS,*,*
STS_52a_ULM2,M2,*,STS,*,*
STS_56_ULM2,M2,*,STS,*,*
STW_183_ULM2,M2,*,STW,*,*
STW_188_URM2,M2,*,STW,*,*
STW_252I_ULM2,M2,*,STW,*,*
STW_280_ULM2,M2,*,STW,*,*
STW_529_ULM2,M2,*,STW,*,*
TM_1517a_ULM2,M2,*,TM,*,*
TM_1517C_URM2,M2,*,TM,*,*
AL200-1a_URM3,M3,*,AL200-1a,*,*
AL333x-1_URM3,M3,*,AL333x-1,*,*
AL486-1_ULM3,M3,*,AL486-1,*,*
Ased_ULM3,M3,*,Ased,*,*
Ased_URM3,M3,*,Ased,*,*
DNH_54_ULM3,M3,*,DNH,*,*
KNM-ER_807_URM3,M3,*,KNM-ER,*,*
KNM-ER_1813_ULM3,M3,*,KNM-ER,*,*
L398-573_ULM3,M3,*,L398-573,*,*
OH13_URM3,M3,*,OH13,*,*
OH15_URM3,M3,*,OH15,*,*
OH16_ULM3,M3,*,OH16,*,*
Prob_DNH_3_ULM3,M3,*,Prob,*,*
Prob_SK16_ULM3,M3,*,Prob,*,*
Prob_SK3975_ULM3,M3,*,Prob,*,*
Prob_SK3977_URM3,M3,*,Prob,*,*
Prob_SK_831A_ULM3,M3,*,Prob,*,*
Prob_SK_3975_ULM3,M3,*,Prob,*,*
Prob_SK_3977_URM3,M3,*,Prob,*,*
Prob_SKX21841_URM3,M3,*,Prob,*,*
Prob_TM1517C_URM3,M3,*,Prob,*,*
SK_13.14_URM3,M3,*,SK,*,*
SK_52_URM3,M3,*,SK,*,*
SK_105_ULM3,M3,*,SK,*,*
SK_847_UM3,M3,*,SK,*,*
STS_28_URM3,M3,*,STS,*,*
STS_37_ULM3,M3,*,STS,*,*
STS_52a_URM3,M3,*,STS,*,*
STS_53_ULM3,M3,*,STS,*,*
STW6_ULM3,M3,*,STW6,*,*
STW179_ULM3,M3,*,STW179,*,*
STW183_URM3,M3,*,STW183,*,*
STW189_ULM3,M3,*,STW189,*,*
STW252H_URM3,M3,*,STW252H,*,*
UW105-676_URM,RM,*,UW105-676,*,*
UW105_681_URM,RM,*,UW105,*,*
UW_105_042_URM1,M1,*,UW,*,*
